S.No.,Part No.,Description,Qty
1,50241,Thread Eyelet Plate,1
2,50242,Screw for Thread Eyelet Plate,2
3,50243,Looper Thread Take UP Eyelet,2
4,50244,Screw for Looper Thread Take Up,2
5,50245,Washer,2
6,50246,Retaining Finger,1
7,50247,Retaining Finger Support Bkt.,1
8,50248,Pressure Washer,1
9,50249,Screw for Pressure Washer,1
10,502410,Washer for Retaining Finger Support Bkt.,2
11,502411,Screw for Retaining Finger Support Bkt.,2
12,50241AY,Thread Eyelet Plate Assy.,1
