Index,Part no,Description
1,TS119,Top Cover
2,TS119 -1,Screw for Top Cover
3,T805,Nut for P-804
4,T810P,Thread Cone
5,T807-1,Rubber Clamp
6,T807 ,Thread Cone Cup
7,T815D,Thread Cone Stand
8,T804,Bolt Thread Clumping
9,T120D,Thread Guide
10,T120-1,Allen Bolt for Thread Guide
