Index ,Part no,Description
1,TC01,Throat Plate
2,C02,Bolt for C 01
3,C03,Tape Folder (Avail. In 2inch & 2.5inch)
4,C04,Cutter
4A,C04-1,Cutter Spring
4B,C04-2,Fix Cutter
5,C05,Screw for C 04
6,C06,Tape Handling Attachment
7,C07,Tape Binding Hook (Avail. In 2inch & 2.5inch)
8,C08,Tape Binder
9,C09,Tape Binder Stud(Avail. In 2inch & 2.5inch)
10,C10,Screw & Washer for C 09
11,C11,Lock Nut & Bolt C 07
12,C23,Crepe Paper Tape Roll (Avail. In 2inch & 2.5inch width)
