Index,Part no,Description
1,T119N,Top Cover
2,T815,Thread Stand
3,T120N,Thread Guide
4,T103S,Cover Side Name Plate
5,T 807,Thread Cone Cup
6,T 804,Thread Clamp Bolt
7,T 805,Nut for T804
8,T 810P,Thread Cone 
