Index ,Part no ,Description
1,D02,Accessory Box
2,T05,Needle DB * 1 200 / 25R (Groz Beckert) or equivalent
3,T300,Looper
4,D13,Allen Key  2.00mm
5,D14,Allen Key  2.50mm
6,D07,Allen Key  3.00mm
7,D15,Allen Key  4.00mm
8,D03,Allen Key  3/16
9,D12,Screw Driver
10,T501-3,Allen Key Screw for Needle Holder
11,D8C,Tweezer
12,D16,Oil can
13,D810P,Thread Cone 1000mtr.
