S.No.,Part No.,Description,Qty
1,5022A-1,Needle Bar Bushing (Upper),1
2,5022A-2,Needle Bar Bushing (Lower),1
3,5022A-3,Pressure Bar Bushing,1
4,5022A-4,Oil Lubricating Bush,1
5,5022A-5,Crank Shaft Bushing (Short),1
6,5022A-6,Crank Shaft Bushing (Long),1
7,5022A-7,Feed Driving & Looper Oscillating Shaft Bushing (Left),2
8,5022A-8,Feed Driving & Looper Oscillating Shaft Bushing (Cent.),2
9,5022A-9,Feed Driving Shaft Bushing (Right),1
