SR. no,Part no ,Description
1,502S131,Needle Bar
2,502S132,Needle Bar Thread Eyelet
3,502S133,Screw Needle Bar Thread Eyelet
4,502S134,Needle Clmap Nut
5,502S135,Needle
6,502S136,Throat Plate
7,502S137,Feed Dog
8,502S138,Pressure Foot
9,502S139,Looper Holder Bkt.
10,502S1310,Needle Thread Take-Up
11,502S1311,Needle  Thread Eyelet
12,502S1312,Looper Driving Lever
13,502S1313,Looper Driving Lever Link Pin
14,502S1314,Feed Dog Driving Control Ecc.
