SR no,Part no,Description
1,502P131,Needle Bar
2,502P132,Needle Bar Thread Eyelet
3,502P133,Screw Needle Bar Thread Eyelet
4,502P134,Needle Clamp Nut
5,502P135,Needle
6,502P136,Throat Plate
7,502P137,Feed Dog
8,502P138,Pressure Foot
9,502P139,Loop Holder Bkt.
10,502P1310,Needle Thread Take-Up
11,502P1311,Needle  Thread Eyelet
12,502P1312,Looper Driving Lever
13,502P1313,Looper Driving Lever Link Pin
14,502P1314,Feed Dog Driving Control Ecc.
