Index,Part no,Description
1,C01,Throat Plate
2,C02,Bolt for C 01
3,C03,Tape Folder
4,C04,Cutter
4A,C04A,Cutter Spring
4B,C04B,Fix Cutter
5,C05,Screw for C 04
6,C06,Tape Handling Attachment
7,C07,Tape Binding Hook
8,C08,Tape Binder
9,C09,Tape Binding Stud
10,C10,Screw & Washer for C09 
11,C11,Lock Nut & Bolt for C 07
