S.No.,Part No.,Description,Qty
1,50231,Tension Disc Separator,1
2,50232,Tension Disc Eyelet,4
3,50233,Tension Disc Bush,4
4,50234,Tension Disc,8
5,50235,Tension Stud,4
6,50236,Tension Spring,4
7,50237,Lock Nut,4
8,50238,Nut for Tension Stud,4
9,50239,Screw for Tension Disc Separator,2
10,502310,Tension Assy. [(2 to 8) Item],4
11,502310AY,Tension Unit Comp. Assy. (1 to 9),1
